ts,o,h,l,c,v
2015-10-22 13:33:00,114.3403,114.58,114.3,114.44,421075.0
2015-10-22 13:36:00,114.41,114.47,114.14,114.37,396985.0
2015-10-22 13:39:00,114.54,114.54,114.15,114.41,505602.0
2015-10-22 13:42:00,114.75,114.98,114.52,114.54,761222.0
2015-10-22 13:45:00,114.81,114.88,114.67,114.73,389280.0
2015-10-22 13:48:00,114.725,114.9602,114.68,114.81,385717.0
2015-10-22 13:51:00,114.8801,114.92,114.72,114.73,442662.0
2015-10-22 13:54:00,114.7836,114.91,114.759,114.88,295494.0
2015-10-22 13:57:00,114.685,114.89,114.65,114.77,343497.0
2015-10-22 14:00:00,114.726,114.75,114.58,114.69,318825.0
2015-10-22 14:03:00,114.55,114.8,114.51,114.73,323215.0
2015-10-22 14:06:00,114.5695,114.7,114.5,114.55,387623.0
2015-10-22 14:09:00,114.72,114.77,114.545,114.565,314050.0
2015-10-22 14:12:00,114.651,114.79,114.58,114.725,220449.0
2015-10-22 14:15:00,114.67,114.74,114.6199,114.657,157912.0
2015-10-22 14:18:00,114.5401,114.725,114.53,114.67,225776.0
2015-10-22 14:21:00,114.43,114.64,114.348,114.55,334633.0
2015-10-22 14:24:00,114.48,114.5,114.369,114.42,234708.0
2015-10-22 14:27:00,114.53,114.57,114.43,114.49,172267.0
2015-10-22 14:30:00,114.57,114.58,114.455,114.52,216114.0
2015-10-22 14:33:00,114.59,114.68,114.53,114.57,236581.0
2015-10-22 14:36:00,114.66,114.66,114.5726,114.59,208700.0
2015-10-22 14:39:00,114.73,114.83,114.66,114.66,270937.0
2015-10-22 14:42:00,114.8,114.82,114.73,114.74,148160.0
2015-10-22 14:45:00,114.8,114.84,114.75,114.805,136292.0
2015-10-22 14:48:00,114.97,114.97,114.79,114.805,370044.0
2015-10-22 14:51:00,115.01,115.08,114.93,114.9701,721724.0
2015-10-22 14:54:00,115.014,115.1,114.98,115.01,282953.0
2015-10-22 14:57:00,115.0385,115.0682,114.96,115.0001,252578.0
2015-10-22 15:00:00,115.055,115.18,115.02,115.04,415663.0
2015-10-22 15:03:00,115.01,115.07,114.98,115.06,228252.0
2015-10-22 15:06:00,115.0799,115.12,114.94,115.0037,177406.0
2015-10-22 15:09:00,115.15,115.17,115.05,115.07,165132.0
2015-10-22 15:12:00,115.14,115.1901,115.0809,115.14,221039.0
2015-10-22 15:15:00,115.0204,115.17,115.01,115.14,208938.0
2015-10-22 15:18:00,115.095,115.11,115.03,115.03,217101.0
2015-10-22 15:21:00,115.03,115.12,115.0,115.0949,200877.0
2015-10-22 15:24:00,114.995,115.06,114.99,115.03,230086.0
2015-10-22 15:27:00,114.96,115.06,114.94,114.991,215299.0
2015-10-22 15:30:00,114.5799,114.96,114.57,114.96,526514.0
2015-10-22 15:33:00,114.28,114.59,114.1878,114.58,729777.0
2015-10-22 15:36:00,114.35,114.52,114.27,114.3,459565.0
2015-10-22 15:39:00,114.38,114.44,114.1,114.35,602083.0
2015-10-22 15:42:00,114.56,114.59,114.36,114.379,395683.0
2015-10-22 15:45:00,114.6001,114.62,114.5,114.5545,239766.0
2015-10-22 15:48:00,114.79,114.84,114.61,114.61,409026.0
2015-10-22 15:51:00,114.89,114.91,114.75,114.79,369847.0
2015-10-22 15:54:00,114.8699,114.9199,114.77,114.89,210500.0
2015-10-22 15:57:00,114.751,114.86,114.68,114.8565,268153.0
2015-10-22 16:00:00,114.74,114.78,114.66,114.76,246287.0
2015-10-22 16:03:00,114.87,114.91,114.73,114.74,228736.0
2015-10-22 16:06:00,114.9,114.96,114.81,114.88,156335.0
2015-10-22 16:09:00,114.97,114.98,114.84,114.9,200469.0
2015-10-22 16:12:00,114.95,115.01,114.91,114.99,238509.0
2015-10-22 16:15:00,114.86,114.975,114.76,114.95,176861.0
2015-10-22 16:18:00,114.8215,114.95,114.82,114.86,101669.0
2015-10-22 16:21:00,114.84,114.9194,114.77,114.83,170606.0
2015-10-22 16:24:00,114.94,114.99,114.825,114.83,298314.0
2015-10-22 16:27:00,114.97,115.05,114.92,114.94,301712.0
2015-10-22 16:30:00,115.035,115.05,114.93,114.97,304656.0
2015-10-22 16:33:00,115.02,115.12,115.01,115.0399,378864.0
2015-10-22 16:36:00,115.06,115.08,114.96,115.018,212641.0
2015-10-22 16:39:00,115.095,115.1,115.02,115.06,186139.0
2015-10-22 16:42:00,115.07,115.11,115.03,115.0901,187726.0
2015-10-22 16:45:00,115.02,115.11,114.98,115.07,257060.0
2015-10-22 16:48:00,114.9699,115.03,114.94,115.015,152709.0
2015-10-22 16:51:00,114.959,115.02,114.931,114.97,149016.0
2015-10-22 16:54:00,114.98,115.02,114.93,114.96,184306.0
2015-10-22 16:57:00,115.0001,115.02,114.94,114.97,143637.0
2015-10-22 17:00:00,115.03,115.06,114.955,115.005,194123.0
2015-10-22 17:03:00,114.98,115.03,114.91,115.03,121528.0
2015-10-22 17:06:00,115.01,115.04,114.96,114.99,124686.0
2015-10-22 17:09:00,114.98,115.01,114.93,115.01,105812.0
2015-10-22 17:12:00,114.98,115.02,114.95,114.971,135022.0
2015-10-22 17:15:00,115.03,115.04,114.975,114.98,223294.0
2015-10-22 17:18:00,115.08,115.11,115.0,115.03,220858.0
2015-10-22 17:21:00,115.0,115.08,114.96,115.08,144103.0
2015-10-22 17:24:00,115.01,115.06,114.9673,114.995,179653.0
2015-10-22 17:27:00,114.786,115.01,114.78,115.0,254872.0
2015-10-22 17:30:00,114.7601,114.8,114.65,114.78,314788.0
2015-10-22 17:33:00,114.81,114.9,114.745,114.77,249079.0
2015-10-22 17:36:00,114.9299,114.97,114.8199,114.82,208442.0
2015-10-22 17:39:00,114.93,114.97,114.8902,114.92,114190.0
2015-10-22 17:42:00,114.86,114.97,114.77,114.92,159794.0
2015-10-22 17:45:00,114.88,114.95,114.825,114.87,141783.0
2015-10-22 17:48:00,114.885,114.94,114.85,114.8999,93776.0
2015-10-22 17:51:00,114.88,114.93,114.84,114.8867,147305.0
2015-10-22 17:54:00,114.869,114.95,114.86,114.89,184898.0
2015-10-22 17:57:00,114.94,114.97,114.86,114.86,170158.0
2015-10-22 18:00:00,114.86,114.955,114.83,114.94,205790.0
2015-10-22 18:03:00,114.84,114.91,114.8,114.86,219494.0
2015-10-22 18:06:00,114.81,114.845,114.74,114.84,193230.0
2015-10-22 18:09:00,114.77,114.85,114.77,114.8,167104.0
2015-10-22 18:12:00,114.73,114.81,114.68,114.79,202750.0
2015-10-22 18:15:00,114.7,114.75,114.61,114.73,226028.0
2015-10-22 18:18:00,114.661,114.75,114.64,114.697,205231.0
2015-10-22 18:21:00,114.62,114.735,114.54,114.67,269569.0
2015-10-22 18:24:00,114.68,114.7,114.55,114.625,246558.0
2015-10-22 18:27:00,114.77,114.77,114.62,114.675,259418.0
2015-10-22 18:30:00,114.82,114.85,114.73,114.76,221888.0
2015-10-22 18:33:00,114.77,114.84,114.77,114.82,140868.0
2015-10-22 18:36:00,114.8932,114.9,114.74,114.779,254079.0
2015-10-22 18:39:00,114.94,115.02,114.855,114.9,284131.0
2015-10-22 18:42:00,114.99,115.05,114.93,114.95,191504.0
2015-10-22 18:45:00,115.04,115.05,114.982,115.0,123617.0
2015-10-22 18:48:00,115.14,115.15,114.98,115.0334,391146.0
2015-10-22 18:51:00,115.175,115.21,115.1,115.13,316567.0
2015-10-22 18:54:00,115.32,115.41,115.18,115.19,560978.0
2015-10-22 18:57:00,115.28,115.36,115.23,115.315,364022.0
2015-10-22 19:00:00,115.4427,115.4427,115.285,115.285,272008.0
2015-10-22 19:03:00,115.33,115.47,115.28,115.45,244157.0
2015-10-22 19:06:00,115.3399,115.4,115.28,115.34,167421.0
2015-10-22 19:09:00,115.382,115.42,115.29,115.32,235534.0
2015-10-22 19:12:00,115.32,115.385,115.28,115.38,212589.0
2015-10-22 19:15:00,115.305,115.38,115.3,115.33,220596.0
2015-10-22 19:18:00,115.43,115.47,115.3,115.3,301870.0
2015-10-22 19:21:00,115.29,115.437,115.28,115.42,248446.0
2015-10-22 19:24:00,115.38,115.38,115.201,115.3,308417.0
2015-10-22 19:27:00,115.43,115.45,115.32,115.3751,240628.0
2015-10-22 19:30:00,115.45,115.49,115.39,115.44,307429.0
2015-10-22 19:33:00,115.43,115.5,115.41,115.46,215904.0
2015-10-22 19:36:00,115.48,115.48,115.4003,115.44,187778.0
2015-10-22 19:39:00,115.45,115.48,115.381,115.4753,221192.0
2015-10-22 19:42:00,115.4,115.46,115.37,115.45,270330.0
2015-10-22 19:45:00,115.4094,115.45,115.35,115.4,375742.0
2015-10-22 19:48:00,115.395,115.49,115.39,115.41,423186.0
2015-10-22 19:51:00,115.26,115.395,115.24,115.395,440502.0
2015-10-22 19:54:00,115.36,115.37,115.2499,115.26,347776.0
2015-10-22 19:57:00,115.42,115.45,115.305,115.36,499832.0
2015-10-22 20:00:00,115.47,115.5,115.41,115.42,3015772.0
